,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
311,Struchium sparganophora,Compositae,Ewuro-odo,Water bitterleaf,Whole plant,"Gonorrhoea,astringent,headache,dracontiasis"
312,Vernonia guineensis,Compositae,Ewuro-olopaa-kan,,"Leaves,roots","Astringent,malaria,male sterility,uro-genital disorders,jaundice,antipyretic,toothache"
313,Phyllanthus amarus  ,Euphorbiaceae,"Eyin-olobe,ehinbinisowo, yoloba,Geron-tsuntsaye","Phyllanthus,amarus plant",Whole plant,"Gonorrhoea, genito-urinary diseases,asthma,diabetes,typhoid fever, jaundice, stomach-ache, dysentery,ringworm, hypertension. "
314,Xylopia acutiflora,Anacardiaceae,Eze,,Stem bark,"Fever, headache, bronchi infection, colds."
315,Clerodendrum capitalum,Verbenaceae,"Feregede,Illiri",Hollow stems,"Leaves, root","Anthelmintics, dysentry, gonorrhoea."
316,Xylopia quintasii,Anacardiaceae,Feru awonka,,"Fruits, whole plant","Constipation, mouthwash, menorrhoea, gonorrhoea, bronchitis, wound dressing."
317,Plumeria alba,Apocynaceae,Frangipani,Frangipani,"Bark, sap","Purgative, antibacterial"
318,Abutilon mauritianum ,Malvaceae,"Furu,kawo","African Mallow,thutt","Leaves, root","Diarrhoea, gonorrhoea,antipyretic,cough,piles"
319,Terminalia catappa ,Combretaceae,Furutu,"Tropical almond tree,badam","Kernel, stem bark","Gonorrhoa, ulcers, cough, catarrh,haemoptysis,cholagogue,astringent,cardiac tonic,styptic,diuretic,emollient"
320,Urtica dioica,Urticaceae,Fuya-fuya,Stinging nettle,Whole plant,"Antipyretic,astringent,emmenagogue,menstrual disorder,kidney diseases."
321,Fluerya aestuans,Urticaceae,"Fuyafuya,Ipe erin",African nettle,Whole plant,"Liver diseases,diuretic, antipyretic,astringent,piles,haemostatic, burns,hair care, pregnancy booster,expels bladder stone"
322,Meptunia oleracea,Leguminosae,Galajin ruwa,,Whole plant,Yellow fever
323,Curcuma longa,Zingiberaceae,"Gangamu, laali pupa",Turmeric,Tubers,"Jaundice, eye wash, skin diseases, vermifuge,yellow fever,ringworm,anti-tumour,antimicrobials,carminative,malaria"
324,Gardenia ternifolia,Rubiaceae,"Gangan, oruwan,Gaudan,Ulimili","Yellow gardenia, gaude.","Roots, fruits","Fever, cough, stomachache, dysentery,skin lesion,emetic"
325,Bosqueia anglosensis  ,Moraceae,"Gangaran, Saworo,Oze","Saworo,bosqueia","Leaves, stem bark","Diarrhoea,menorrhagia"
326,Adenium Obesum,Apoynaceae,Gariya,,"Stem, roots, fruit,juice","Wound dressing, ulces, cardiac tonic, venereal diseases."
327,Manihot esculenta,Euphorbiaceae,"Gbaguda, Ege,Akpu,K'araza",Cassava,"Leaves, tubers,stem bark","Gonorrhoea, purgative,ulcer,eye drop,schistosomiasis,toothache."
328,Icacina tricantha,Icacinaceae,Gbegbe,Icacina,"Leaves,root,exudate","Rheumatism,aphrodisiac,toothache,anthelmintics,purgative,abortifacient,wound,dermatophytosis."
329,Stephania abyssinica  ,Menispermaceae,Gbejedi,Stephania,Roots,"Antispasmodic, menorrhagia.vermifuge"
330,Pterocarpus santalinioides,Leguminosae,"Gbengbe,Nturukpa,gunduru",Winged fruit,Bark,"Antipyretic,astringent,skin diseases."
331,Pterocarpus erinaceus  ,Leguminosae,"Gbingbin, Imo-osun,Aze-egu,Madobia","African rose wood,pterocarpus, zanchi.","Leaves, stem bark","Fever, diarrhea, dysentery, ringworm."
332,Oncoba spinosa,Flacourtiaceae,"Gbonsere, Panisa, Ponsere,Kookoocikoo","Snuff-box tree,fried-egg tree","Roots, leaves","Cough, cold, sore throat, wounds"
333,Talinum triangulare ,Portulacaceae,"Gbure,Ofe bake,Ntu oka","Water Lettuce,ceylon-spinach,fame flower,surinam purslane","Roots, leaves","Schistosomiasis, scabies, fresh cuts,high blood pressure,anaemia"
334,Rabdia nilotica,Rubiaceae,Giel goti,,Roots,"Backache,yellow fever,arthritis,tonic"
335,Psidium guajava  ,Myrtaceae,"Gilofa,Giba,Ugwoba",Guava,"Leaves, stem bark, fruit","Fever, diarrhea, stomach-ache, cough,laxative,dysentery,irregular menstruation, malaria."
336,Aneilema hockii,Commelinaceae,Godobo-funfun,,Root,"Aphrodislac, female infertility."
337,Parinari macrophylla,Rosaceae,"Gwasa,putu,Rura","Neou oil tree,ginger bread plum","Kernels,fruits","Malaria,skin infections,anthelmintic,antibacterial,cough,purgative,cardiac tonic,eye diseases,astringent."
338,Andira inermis,Araceae,Gwaska,"Dog almond,bastard mahogany","Bark ,seeds","Skin diseases,anthelmintics"
339,Amorphophallus dracantioides,Anacardiaceae,"Gwazar glwa, gaadali",,Tubers,"Asthma, piles, snakebite remedy, arrow poison"
340,Leptochloa coenilescins,Poaceae,Gyasua,,Whole plant,Bathing of newborn
341,Boswellia dalzielii,Burseraceae,"hano, janauhi",Frankincense tree,"Bark, gum, roots","Urinary disorder, antiseptic."
342,Flabellaria paniculata,Malpighiaceae,Iagbo-Iagbo,,Leaves,"Wounds, cuts"
343,Carica papaya  ,Caricaceae,"Ibepe,Ojo,gwanda",Paw paw,"Leaves, seeds, fruits","Gonorrhoea, syphilis,amoebic dysentery,roundworms,abortifacient,emmenagogue,diabetes,medicinal recipes,papain enzyme as meat tenderizer,convulsion,mental disorder, malaria."
344,Landolphia dulcis,Apocynaceae,Ibo,Sweet landolphia,"Roots,stem","Rheumatism,cough,kidney diseases"
345,Saba florida,Apocynaceae,"Ibo,Ciwo,",Saba,"Roots,bark,leaves","Jaundice,venereal diseases,aphrodisiac,improves lactation"
346,Corynanthe johimbe  ,Rubiaceae,Idagbon,Yohimbe plant,Stem bark,"Hypertension,aphrodisiac, dysmenorrhoea"
347,Axonopus compressus,Poaceae,Idi, Tropical carpet grass,Leaves,"Malaria fever, asthma,breast swelling."
348,Terminalia schimperiana,Combretaceae,Idi odan,Tult,"Leaves, stem twigs, roots","Diarrhoea, dysentery, ulcers,leucorrhoea, enema, syphilis, cough, sore throat."
349,Terminalia avicennioides,Combretaceae,"Idi, udi,Baushe",Baushe,Stem bark,"Skin diseases,antimicrobial."
350,Terminalia ivorensis  ,Combretaceae,"Idigbo,Awun -shin","Black afara,Emeri,idigbo,framire","Bark,leaves.","Black tongue, constipation, arthritis,diuretic,stomachic"
351,Terminalia glaucescens,Combretaceae,"Idi-Odan, Baushe",,"Leaves, stem twigs, roots","Cough, sorethroat, astringent, ulders, enema, syphilis, oral hygiene."
352,Microdesmis puberula ,Euphorbiaceae,"Ido-apata, Esunsun,edopata,uroko-apata,aringo,Ukperi",Microdesmis,"Bark, seeds, leaves","Diarrhoea, dysentery,  impotence,enema,wound,eye-drop."
353,Canna indica ,Cannaceae,"Idodo,ido,Gwangwama,Aberekanwo",Indian shot,Leaves,"Asthma, Malaria"
354,Antrocaryon micraster,Anacardiaceae,"Ifa-Okete, Egin-agbo",,"Leaves, fruit","General toxic, laxative, cough, stomachae"
355,Wissadula amplissima  ,Malvaceae,"Ifin, Ewefuru,Ramar kurmii",Wissadula,Leaves,Convulsions.
356,Olax subscorpioidea ,Olacaceae,"Ifon,masepe,Igbulu,Gwanorafi,Gwaanon raafii","Olax,stink ant forest","Roots, leaves, stem, bark, twigs","Yellow fever, jaundice, guinea worm, venereal diseases,mental disorders,toothache."
357,Parkia biglobosa ,Leguminosae,"Igba, Igi-iru Dadawa,Ogirili,Dorowa","West African locust bean, Dadawa tree","Leaves, bark, seeds, fruit pulp","Tonic, wounds, malaria, diabetes,high blood pressure,mental disorders,astringent,intestinal disorders,obesity,anti-tumour."
358,Solanum melongena,Solanaceae,"Igba,igba-ijesu.","Eggfruit,Long purple","Fruits,roots","Diuretic,purgative,venereal diseases"
359,Albizia lebbeck,Leguminosae,Igbagbo,"Silk flower,lebbeck","Seeds, Leaves, Stem-bark","Astringent, mouthwash, river-blindness, gonorrhoea"
360,Tridax procumbens,Compositae,"Igbalode,muwagun,eekule",Tridax,Whole plant,"Antipyretic,haemostatic,backache,stomachache"
361,Solanum torvum,Solanaceae,Igba-yinrin- elegun,"Turkey berry,devil's fig","Roots,fruits","Cough,liver and spleen diseases,improves lactation"
362,Dennettia tripetala,Annonaceae,"Igbere,Nmimi",Pepperfruit,"Fruit,leaves,stem-twigs.","Insect repellant,fever,cough,toothache,stimulant"
363,Cannabis sativa,Cannabinaceae,Igbo,Indian Hemp,"Leaves, female inflorescence,seeds,stem-twigs.","Diarrhoea, sores, migraine, whooping cough,sedative,dandruff,lice,gonorrhea,dyspepsia"
364,Diospyros mespliforimis,Ebenaceae,"Ige,igidudu,Kalwaa",Ebony tree,"Root bark, stem bark","Bilharzia, diarrhoea, antibacterial,anthelmintic,astringent,abortifacient,fertility regulation"
365,Crescentia cujete,Bignoniaceae,"Igi igba,igisogba","Calabash tree,gourd tree",Fruits,Receptacle for herbal medicines
366,Gmelina arborea,Verbenaceae,Igi melina,"Gmelina,parrot's beak","Roots,leaves","Antipyretic,stomach disorder,cough,gonorrhoea,demulcent"
367,Tectona grandis,Verbenaceae,Igi tikii,Teak,"Fruit,seeds,bark","Dyspepsia,headache,skin diseases,anthelmintic,astringent,toothache."
368,Hannoa klaineana  ,Simaroubaceae,"Igigun,Oghulu,Takar'dargiwa",Hannoa,"Stem, root","Hypertension,carminative,stimulant , fever."
369,Maesopsis eminii,Rhomnaceae,Igilogbon,,Leaves,"Diluretic, emetic, purgative."
370,Agelenopsis chevaleri,Olacaceae,Igo,"Agelenopsis,igo","Bark, roots, seeds, leaves","Conjunctivitis, ring-worm, impotence, purgative, craw-craw, tooth ache, mumps."
371,Acacia ataxacantha,Mimosaceae,"Ihun,ewon-adele,sarkakiyaa,uke.",Benin rope Acacia,Young leaves,"Dysentery,backache"
372,Ekebergia  senegalensis,Meliaceae,"Ijebo, Ayape,Madachin dutsi",Stavewood,"Trunk bark,roots.","Rheumatism, insomnia,malaria,antipyretic,blood tonic, chicken box,charred powder of roots for inducing sneezing"
373,Entandrophragma cylindricum ,Meliaceae,"Ijebo,Owura",Cedar mahogany,Stem bark,"Diabetes, cough, fever,gastro-intestinal disorders, black tongue,stimulant"
374,Solanum incanum ,Solanaceae,"Ikan,igba,Anara,Arungu","Garden egg,egg plant,igba,ikan","Leaves, fruits, roots","Leprosy, gonorrhoea, cramps, nausea,diuretic,cholagogue,purgative."
375,Chrysobalanus ellipticus ,Roseaceae,"Ikatee,Awonriwon","Chrysobalanus,coco-plum","Leaves, roots",Diarrhoea
376,Combretum grandiflous,Combretaceae,ikedike,,Leaves,"jaundice, galactogogue, cholagogues."
377,Abelmoschus esculentus ,Malvaceae,"Ila,okweje,kubewa","Okra,lady's finger","Fruit, seeds","Fevers, gonorrhoea, dysentery, catarrhal infections,emollient,antispasmodic, tonic."
378,Grewia sp,Tiliaceae,"Ila-oko, lakolako",,Fruits,"Religious purpose, mystic, soup with okra-like taste"
379,Urena lobata ,Malvaceae,"Ilasa-omode,ilasa-agborin,akerielu, okeriri,efore-loka,akeeri,Odo-ezeze,Rama-rama.","Congo jute,Nicardi,boriyal,Caesar-weed.","Whole palnt, leaves","Dysentery,emollient,expectorant"
380,Ageratum conyzoides,Compositae,"Imi-esu, ula ujula,urata,ahenhen",Goat weed,"Whole plant, leaves, root","Wounds, ulcers, craw-craw, digestive disturbance, diarrhoea,emetic,skin diseases,antipyretic,gonorrhoea,sleeping sickness,eye wash"
381,Pteris togoensis,Adiantaceae,Imo-osun,,"Leaves, rhizome","Warts, tumor."
382,Plumbago zeylanica ,Plumbaginaceae,"Inabiri,Onaya ako",Ceylon leadwort,"Roots, leaves","Fever, rheumatism, fungal diseases."
383,Mukia maderaspatana,Cucurbitaceae,"Ina-oka, Oki-oka, Igbokita.",Mukia,"Shoot, leaves,roots,exudate.","Cough,flatulence,aperient, amoebiasis, wound-dressing, toothache,mental disorders, neuralgia."
384,Dioscoreophyllum cumminsii  ,Mennispermaceae,"Inunurin, Omuaja",Serendipity berry,"Fruits,leaves,roots.","Diabetes, obesity, impotence,tonic for debility."
385,Alchornea cordifolia,Euphorbiaceae,"Ipa, esinsin, eepa,bambami,ububo",Christmas bush,"Leaves, stem,bark,twig","Fever, rheumatism,antimicrobials ,diuretic,purgative,toothache,cough,sore,gonorrhoea,insomnia"
386,Lonchocarpus sericeus  ,Leguminosae,"Ipapo,alakiriti,Njassi,Faki","Dotted lancepod,lilac tree ","Roots, bark","Convulsion, skin diseases,laxative"
387,Ficus asperifolia,Moraceae,"Ipin,Asesa,Baure",Sandpaper plant,"Leaves, root","Wounds, coughs."
388,Bridelia ferruginea,Euphorbiaceae,"Ira, ira odan, ira eju,Kirni,Ola,okukuu.",Ira,"Leaves, bark,roots,fruits ","Insomnia,antipyretic, general care in children,diabetes,antibacterials,dysentery,mouth wash,gonorrhoea"
389,Nephrolepsis bisserata,Nephrolepidaceae,"Iramu,owuro",Fern,"Whole plant, root","Pregnancy booster,dysmenorrhoea toothache."
390,Leptadenia hastata,Rubiaceae,Iran-aji-igbo,Leptadenia,"Root, leaves, flowers","Antimicrobials, antispasmodic"
391,Securinega virosa  ,Euphorbiaceae,"Iranje, awewe",Securinega,"Root, leaves","Diarrhoea, dysentery,aphrodisiac,astringent,laxative,jaundice,sickle cell anaemia"
392,Mitracarpus scaber,Rubiaceae,"Irawo ile,irawo ale,googa maaso","Mitracarpus,button grass",Whole plant,"Fungal diseases,wounds,ulcers"
393,Borreria verticillata  ,Rubiaceae,"Irawo ile,Uniedi,Damfark' ami",African borreria,"Leaves, roots","Gonorrohea, skin diseases,dysentery,antibilharzia,abortifacient,diuretics,anti-leprosy"
394,Borreria ocymoides,Rubiaceae,"Irawo-ile,Otete",,"Leaves, root, whole plant","Gonorrhoea, astringent, skin infection."
395,Funtumia elastica ,Apocynaceae,"Ire ,Mba","Lagos silkrubber tree,wild rubber","Stem, twigs, stem, latex","Jaundice, piles, impotence,antipyretics."
396,Costus afer  ,Zingiberaceae,"Ireke - Omode,tete-eegungun,Opate,Kaki zuwa",Ginger lily,"Stem, roots, fruit,juice","Coughs, diabetes, rheumatic swellings, cuts/sores,diuretic,diabetic,antiarthritic property,malaria,jaundice,gonorrhoea,bilharzia,anti-snake."
397,Saccharum officinarum  ,Poaceae,"Ireke,Arakke,Rakee",Sugar cane,"Leaves, stem-juice","Headache, joint pains,antidote to snake venom.."
398,Holarrhena floribunda,Apocynaceae,"Irena,Bakin mutum","Connessi,false rubber tree,holarrhena",Bark seeds,"Dysentery, diarrhea, jaundice, fever,astringent,bilious disorder,anthelmintics"
399,Carapa procera ,Meliaceae,"Irere, Agogo,abo-oganwo,Nkwo","Monkey cola,crabwood","Bark, seeds, leaves","Purgative, ringworms, boils,rheumatic pains,antipyretic"
400,Melicia excelsa ,Meliaceae,"Iroko,Oji",Iroko tree,"Root, latex, bark","Elephantiasis, antiseptic, nausea,rheumatism,insomnia,abdominal pain, malaria."
401,Solenostemon monostachyus  ,Labiatae,"Ironopolo, agogo-igun,olojoungbudu,egbao-opolo,Tumukun birii",Catnip,Leaves,"Convulsion, tuberculosis, stomachache,carminative."
402,Baphia nitida,Papilionaceae,"Irosun,Majigi,Ufie,Aboshi",Cam wood,"Leaves,  bark, roots,twigs","Constipation, skin diseases, venereal diseases,ringworm,enema,flatulence,smallpox"
403,Napoleona imperialis  ,Lecythidaceae,"Irosun-igbo, Irosun,Akbodo,Mabungi,Nnekeloche",Napoleona,Twigs,"Asthma, cough,toothache"
404,Markhamia tomentosa,Bignoniaceae,"Iru aya,aya",Bell bean tree,Leaves,"Elephantiasis of scrotum,fevers,oedema,rheumatic pains,thrush, malaria."
405,Stachytarpheta angustifolia ,Verbenaceae,"Iru-alangba,Tsarkiyar kusuu",Bastard verbain,"Whole plant,leaves","Hypertension,anthelmintics,weak erection,menstrual disorder,venereal diseases"
406,Pyrenacantha staudtii,Iccinaceae,"Iru-okete, Oroto-Agba",,"Stem, root barks",Cancer
407,Strophanthus gratus  ,Apocynaceae,"Isa, isa-gidi,Ota,Kwan-kwani,","Climbing oleander,cream fruit",Seeds,"Heart troubles,cardiac tonic"
408,Bridelia micrantha  ,Euphorbiaceae,"Isa,asa,Oga ofia,Edede",Mitzeeri sweetberry,"Leaves, roots,bark","Laxative, young leaves chewed for headache,migraine."
409,Ximenia americana,Olacaceae,"Isade, Igo,tsade.","Wild lime, wild oliver, seaside plush","Leaves, root, bark, seeds","Toothache, headache, ulcers, skin diseases, sleeping sickness, mumps, conjunctivitis, eye wash."
410,Hibiscus asper  ,Malvaceae,"Isapa,Ireagu,Dangiraa","Bush roselle,thorny roselle,water hemp",Leaves,"Cough, wound,diuretics"
411,Sida rhombifolia  ,Malvaceae,"Iseketu pupa, Ewe-ifin,Faskara saiwo",Red sida,Leaves,"Diarrhoea,emollient,wound."
412,Justicia insularis,Acanthaceae,Isepe-akere,,Whole plant,"Measles,smallpox."
413,Celastrus senegalensis ,Celastraceae,Isepolohun,Bittersweet,"Leaves, stem root","Dysentery, oedemas, gonorrhoea, cancer, gastrointestinal troubles,vermifuge,mouth wash,laxative,aphrodisiac."
414,Physostigma venosum  ,Leguminosae,"Isho,Esgerem","Chopnut, Calabar bean, ordeal bean",Seeds,"Glaucoma, antidote to atropine and strychnine poison, contraction of pupils,jiggers,poison."
415,Blighia sapida ,Sapindaceae,"Isin,Okpu ulla,Gwanja kusa",Akee apple,"Leaves, bark, fruit","Malaria, migraine, dysentery,ease labour,hypoglycaemic agent,(note that coat is poisonous)."
416,Mondia whitei,Periplocaceae,"Isirigun, Gbolo-gbolo, Aghuma",Mondi,"Root, leaves, whole plant.","Pile, malaria, rubefacient."
417,Sida cordifolia ,Malvaceae,"Iso-obo,Garmani",Country mallows,"Leaves, roots, seeds","Spermotorrhoea,uro-genital diseases, gonorrhoea, piles, rheumatism, hay fever,asthma."
418,Crinum glaucum,Amaryllidaceae,Isu meri,"Crinum lily,spider lily","bulb,flower-stalks","Antimicrobial,purgative,rubefacient,cough,anti-allergic properties,female fertility"
419,Dioscorea bulbifera,Discoreaceae,"Isu-emina,emina,isu-ahun,Dooyar bisa","Air potato,aerial potato yam",Tuber,"Mystic properties,diarrhoea,dysentery,constipation,anthelmintics,antidote for snake and scorpion venom,coughs,mental problems,diabetes,weak erection,breast enlargement,fever,rheumatism,antimicrobials."
420,Celtis mildbraedii,Ulmaceae,"Ita-gidi, uta, ewon-agogo,Aziza","African Celtis, African hackberry,beaverwood,obia,nettle tree",Root,"Arthritis,fever,dysmenorrhoea."
421,Grewia flavescens  ,Tiliaceae,"Itakun okere,Dargaji","Sand paper raisin,raisin bush,wild raisin",Leaves,"Boils, enlarged spleen,aid lactating mother"
422,Napoleona vogelii ,Lecythidaceae,"Ito, Gbogbori,Akbodo",Napoleona,"Leaves, bark, seeds, twigs, fruit, root","Diabetes, fever, cough, catarrh."
423,Millettia thonningii ,Leguminosae,"Ito,Tuburku,Ajukwu okeokpa",Milletia,"Roots, bark","Fever, cough, respiratory ailment,anthelmintic,ophthalmia"
424,Cucumeropsis manni,Cucurbitaceae,"Itoo, eyen",,Leaves,Milk laxative
425,Commelina diffusa,Commelinaceae,"Itopere,godogbo-odo,Obogy,Balasa","Day flower,small blue flower,commelina","Leaves, whole plant","Yellow fever, oedema, sore, boils,itch,headache,backache,pregnancy promotion"
426,Daniellia thurifera,Leguminosae,Iya,Frankincense tree,Stem-wood dust,Scabies
427,Daniellia oliveri,Leguminosae,"Iya,Kadaura,Ozabwa, Maje","African copaiba,balsam tree,niger-copal,maaje","Gum, bark","Dysentery, diarrhoea, toothache,urinary infection,astringent,tooth ache"
428,Cnidoscolus acontifolius,Euphorbiaceae,Iyanapaja,Cnidoscolus,"Leaves, sap","Diuretic, antimicrobial"
429,Mikania cordata,Compositae,"Iyawa,ejon",Climbing hemp-weed,"Leaves, sap,whole plant","Cough, bronchitis, anthelmintics, lumbago, rheumatic pains,urethritis,diuretic, malaria, conjunctivitis, schistosomiasis, jaundice, small-pox."
430,Olyra latifolia,Poaceae,"Iye-etu,Ami",Olyra,"Seeds,roots,leaves","Anthelmintics,scabies,filariasis,cough,chest pain,enhances fertility"
431,Piper guineense ,Piperaceae,"Iyere, Ata-iyere,Ozeza,Masooroo",Climbing black pepper,"Fruits, leaves,seeds","Herbal recipe ingredient, rheumatism,antipyretic, anti-emetic, stomachache, mental illness,anthelmintic,carminative,impotence,antimicrobials,hypertension"
432,Erythrococca anomala,Euphorbiaceae,Iyere-igbo,Cocca,"Fruits,leaves,leaf-sap","Headache, joint pains,earaches,taeniacide."
433,Palisota hirsuta,Commelinaceae,"Jagborokun,rogbo-aguntan,Atolo,Ikpere aturu",Palisota,"Roots,leaves,stem-twigs.","Anaemia, dysentery,cough,toothache,gonorrhoea."
434,Eremomastax speciosa,Acanthaceae,"Jangborukan,asoyin",Eremomastax,Leaves,"Guinea worms,anthelmintic,sores"
435,Ehretia cymosa,Boraginaceae,Jaoke,"Puzzle bush,ivorywood","Leaves,bark","Amenorrhoea,contraceptive,fevers,convulsion,fracture management"
436,Oxalis corniculata  ,Oxalidaceae,"Jeenu benu, Patanmo,Oneko,Tsuku","Yellow oxalis,wood sorrel",Leaves,"Fever, dysentery,warts, boils."
437,Mezoneuron benthamianum,Leguminosae,"Jenifinrani, amuranju",,"Leaves, stem twigs, roots","Gonorrhoea, urethral dischage, anthelmintic."
438,Bauhinia rubescens,Caesalpiniaceae,Jinga,,Root,"Fever, dysentery."
439,Acalypha godseffiana,Euphorbiaceae,Jinwinini,Acalypha,"Leaves, twigs","Skin infection, Antimicrobials"
440,Acalypha fimbriata  ,Euphorbiaceae,"Jinwinini,kandiri",Acalypha,Leaves,"Syphilis, asthma,,anthelmintics, ulcers,rheumatism, antimicrobial & antifungal"
441,Acalypha hispida  ,Euphorbiaceae,"Jiwene, Jinwinini","Cat's tail,chenille plant,medusa's locks","Leaves, twigs","Skin rashes, antimicrobial"
442,Acalypha wilkesiana,Euphorbiaceae,"Jiwene, Jinwinini","Copper leaf, beef steak plant","Leaves,twigs","Skin rashes,antimicrobials,flatulence,constipation"
443,Hyptis suaveloensis,Labiatae,"Jogbo,Kimba-kimba",Hyptis,Leaves,"Cough,fevers,wounds,anthelmintic,carminative, malaria."
444,Boswellia spp,Burseraceae,Juguuhi,,Bark,Anti snake venom
445,Brassica oleracea var capitata,Cruciferae,Kabeji,"Cabbage,sea cabbage","Leaves,seeds","Antimicrobial,skin diseases."
446,Caloncoba glauca   ,Flacourtiaceae,"Kakandika,pomuseghe",Caloncoba,"Seeds, root, bark, leaf","Leprosy, skin lesions,pustular skin eruptions,migraines"
447,Paullinia pinnata,Sapindaceae,"Kakansenla, Obi-Omode,Isu-omode,Itakun-okere,Ogberi-akuko,Yatsabiyar","Hippo cola, five fingers,water cola","Leaves, seeds, roots","Sore throat, leprosy, jaundice, menstrual disorder, sore throat, black tongue,ophthalmia,dysentery,haemostatic agent,astringent.aphrodisiac, malaria."
448,Guibourtia copallifera,Leguminosae,Kaluk ofuon,,"Leaves, roots, fruits, stem exudate","Galactogogue, blood booster, rheumatism, gastro-enteritis, dysentery."
449,Eugenia aromatica,Myrtaceae,Kanafuru,Clove,Flower,"Toothache, carminative, rubefacient, serving as preservative in herbal recipes."
450,Klainedoxa gabonensis,Irvingiaceae,"Kanakoro,odudu",Klainedoxa,"Bark,seeds","Measles,yaws,skin diseases,thrush,venereal diseases,chickenpox,toothache,stomachic"
451,Cynodon dactylon,Graminae,"Kapet garassi,Buntun kudaa","Bahama grass,dub grass","Leaves, root","Venereal diseases, astringent, haemostatic, urinary infection, wounds."
452,Dichrostachys cinerea,Leguminosae,"Kara, Ajagboluti,Ami ogwu,Dundu","West African sickle bush, Princess's earrings","Bark, root, latex","Fever, stomachache, toothache,diuretic,astringent,anthelmintics,scald,sores"
453,Cola laurifolia,Sterculiaceae,"Karanga,Ufa, Aworiwo",,"Twigs, stem bark","Tooth ache, dysentery, oral hygiene,caries,thrush"
454,Heeria insignis,Anaradiaceae,"Kasheshe,Hawawen Zakii",,"Leaves, stem bark,roots","Anthemintic, aphrodisiac, galactogogue,dysentery,vermifuge"
455,Senna arabica,Leguminosae(Caesalpiniaceae),Kashia,Gum arabic,"Leaves,bark","Cough,asthma,bronchitis,skin diseases,diabetes,urinary disorders,gonorrhoea"
456,Acacia auriculiformis,Leguminosae,Kasia eleti,Earleaf acacia,Bark,Astringent 
457,Anacardium occidentale ,Anacardaceae,"Kasu,kanju,akwe olu,okpokpo",Cashew nut tree,"Bark, leaf, fruit","Malaria, elephantiasis, leprosy, ringworms,scurvy,diabetes,warts,anthelmintics,typhoid fever,caries."
458,Combretum glutinosum,Combretaceae,Kattakara,,Leaves,"childhood fevers,milk preservative."
459,Hibiscus rosasinensis  ,Malvaceae,"Kekeke,Ireagu",Garden hibiscus,"Leaves, stem, flower buds","Influenza, cough, asthma, tertiary syphilis, stomach upset,appendicitis,hypertension,oligospermia,antipyretic"
460,Leucas martinicensis,Labiatae,Keke-owu,,Leaves,Snake antidote
461,Hibiscus surattensis,Malvaceae,"Kinkinrinmiyin,akonimara,seniferan,emo,sinkin-mini",,"Whole plant,leaves","Stomachache,mystic uses"
462,Embelia schimperi,Myrsinaceae,Kiru,,"Stem bark, leaves","Antispasmodic, anthelmintic."
463,Coffea arabica  ,Rubiaceae,"Kofi,Gahwa",Coffee,Kernels,"Stimulant, rheumatism,diuretic"
464,Stylosanthes erecta,Loganiaceae,Kogum,,Whole plant,"Cold, aphrodisiae"
465,Leea guineensis,Leeaceae,"Kojiya,aledo,alugbokita, iya-keke-gbodo","Hansidhapan,leea","Leaves,roots,seeds.","Pregnancy detection,purgative,toothache,gonorrhoea,general weakness."
466,Theobroma cacao,Sterculiaceae,koko,Cocoa,"Seeds,roots.","Stimulant,diuretic,toothache,gingivitis, Blood tonic."
467,Colocasia esculenta,Araceae,"Koko,kokofun,koko-ibile,Gwamba","Cocoyam,wild taro","Tuber,leaves","Anaemia,wounds,rheumatism,poison antidote"
468,Cymbopogon citratus  ,Poaceae,"Kooko-oba,Acharaehi",Lemon grass,"Leaves, roots","Malaria, cough, sprains, lumbago, stomach tonic, stimulant, cold,diaphoretic,diuretic,refrigerant,ringworm"
469,Physalis angulata  ,Solanaceae,"Koropo, papo,Putu,Matsarmana",Ground angular cherry,Whole plant,"Fever, asthma, diarrhoea, throat swelling,infertility, malaria."
470,Crotalaria retusa,Leguminosae,"Koropo,alatunse,saworo,Yara, Akidimuo","Rattle box,rattle pea","Root, seeds, juice of pods,leaves.","Fever, cirrhosis, liver lesions, dysentery,colic,vermifuge"
471,Opilia celtidifolia,Opiliaceae,"Koyin-solorun,Inuwar gadaa",Opilia,"Roots,stem","Anthelmintics,purgative,diuretic."
472,Bandeiraea simplicifolia,Leguminosae,Kporekpo,,"Leaves, bark","Urinary disorder, cancerous growth."
473,Lycopodium cernuum,Lycopodiaceae,Kujekuje,"Creeping club Moss,Lycopodiella cernua",Whole plant,"Malaria, newborn skin management ."
474,Mollugo nudicaulis  ,Molluginaceae,"Kujekuje,Ankwai narba",Chick weed(daisy-leaved),Whole plant,"Whooping cough,vermifuge"
475,Courbonia virgata,Capparaceae,Kumkum,Courbonia,"Roots,fruits,leaves","Stimulant,chest pains,cough"
476,Ziziphus spina-christi,Rhamnaceae,"Kurna,ekannase-adie,Kurna","Christ plant,thorns of Christ","Bark,roots,seeds","Cough,  respiratory problems,astringent,yellow fever."
477,Ziziphus mauritiana,Rhamnaceae,"Kusulu,magariya",Jujub tree,"Bark,roots,seeds","Cough,yellow fever,astringent,anthelmintics,conjunctivitis,purgative"
478,Scleria depressa,Cyperaceae,Labelabe,Sword grass,"Roots,leaves","Coughs,irregular menstruation,haematuria,easing labour,sores"
