,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
53,Carpha procera,Cyperaceae,"Agogo-igun, Apari-Igun,ogberi-akuko",,Bark,"Febrifuge, anthelmintic, appetizer, antiperiodic, purgative."
54,Heliotropium indicum  ,Boraginaceae,"Agogo-igun, Apari-Igun,ogberi-akuko,Kalkashin korama","Heliotrope,cock's comb",Whole plant,"Convulsions, cancer, worms ,rectal enema,mouth-wash."
55,Polyalthia suaveolens,Annonaceae,Agudugbi,,Roots,Fever
56,Greenwayodendron suaveolens,Annonaceae,Agudugbu,,"Roots,leaves,bark","Anthelmintics,purgative,ease labour,menorrhagia,weak erection.."
57,Culcasia scandens,Araceae,Agunmona,,Leaves,"Skin disease,anaesthetic,stomachache,pregnancy booster,venereal disease"
58,Turrea vogelii,Meliaceae,"Ahaa-omode, Asa-omode, sebire","Turrea,ahunanyaka","Leaf, root, bark","Cough, stomachache, aphrodisiac, whooping cough, impotence,filariasis"
59,Aloe vera,Liliaceae,Ahon erin,Barbados Aloe,Leaves juice,"Purgative,guineaworms,hair care,skin diseases,wound,diabetes,amenorrhoea,breast cancer,immune booster"
60,Acanthus montanus,Acanthacease,"Ahon-ekun,irunmu-arugbo,inyinyiogwu,ogwudurunwashihshi","Bear's breech,white's ginger,leopard's tongue","Stem-twig, leaves,roots","Syphilis, cough, emetic, urethral discharge, purgative,boils,anaemia,anthelmintics"
61,Alstonia congensis,Apocynaceae,"Ahun,egbu",Stool wood,Bark,"Malaria, astringent, toothache."
62,Senna fistula,Leguminosae,Aidantoroo,Indian laburnum,"Pods, leaves","Astringent, diabetes, liver disorder, purgative."
63,Tamarindus indica,Leguminosae,"Ajagbon, pala,Tsamiya,Icheku ovibo",Tamarin tree,"Fruit pulp, leaves, stem bark","Fever, inflammatory swellings, boils,vermifuge,astringent,carminative,tonic,diarrhoea,lumbago"
64,Zingiber officinale,Zingiberaceae,"Aje, Atale, Lali-funfun,jinja,Cittar ahoo",Ginger,Rhizome,"Cold, cough, asthma, stimulant, rheumatism, piles, hepatitis, liver diseases,diuretic headache,digestive disorder,breast swelling related to menstrual cycle,anthelmintics,carminative,typhoid fever,obesity, malaria."
65,Coix lacryma-jobi,Poaceae,"Aje,aka-ila,agbala-maria,ido-onisekere",Job's tear,"Roots,fruits,seeds","Diuretic,anthhelmintics,asthma,stimulant,cicatrizant,irregular menstruation,conjunctivitis."
66,Celosia trigyna,Amaranthaceae,"Ajefowo,ajitan",Celosia,Leaves,"Anthelmintics,diuretic,astringent,chest pains,emmolient,sore"
67,Croton zambesicus,Euphorbiaceae,Ajekobale,bushveld,"Leaves,twigs","Piles,gonorrhoea,arthritis,diarrhoea,impotence,"
68,Canthium glabriflorum,Rubiaceae,"Ajelora,Igi elera,Eze",,"Stem,roots,leaves","Cough,mental disorders"
69,Euadenia trifoliata,Capparaceae,"Ajinringburigbu, Logbokiya,Kanumfari",Euadenia,"Roots, stem, bark,fruit","Tuberculosis,arthritis, otalgia, aphrodisiac, rectal prolapse."
70,Paropsia guineansis,Passsfloraceae,"Akapue, koropo",,Roots,Toothache
71,Cnestis ferruginea  ,Connaraceae,"Akara aje, omu-aja,esise,elemesan,Amunketa","Short pod,alum plant","Fruits, seeds, leaves, root,bark","Snake bite, eyedrops, migraine, gonorrhoea, madness,laxative,sore throat,pyorrhoea,stabilise pregnancy,oral infections"
72,Petersianthus macrocarpus ,Lecythidaceae,"Akasun, Upi",Stinkwood,Stem twigs,"Chronic bronchitis,lumbago,headache."
73,Hibiscus acetosella,Malvaceae,Akese,Hibiscus,Leaves,Dysentery
74,Lecaniodiscus cupanioides,Sapindaceae,"Akika,Okpu,Kekera kuchi,Kaafi naamaa -zaakii",lecaniodiscus,"Leaves,roots,young shoots,seeds,stembark","Fevers,burns,liver abscess,purgative,amenorrhoea,typhoid fever,jaundice,cough, malaria."
75,Discoglypremna caloneura,Euphorbiaceae,"Akikaagba, Ogwilaki",,Seeds,"Gastrointestinal disorder, catharsis, abortion, purgative."
76,Spondias mombin  ,Anacardaceae,"Akikan, iyeye,okikan,ekikan,Tsadar masar,Jinkara,Ijikera","Hog plum, yellow mombin","Barks, leaves, fruit juice,root bark","Cough, fever, yaws, dizziness, sore throat, cold, gonorrhoea, diarrhea,catarrhal conditions,anthelmintic,emmenagogue,ease labour,diabetes,measles,toothache"
77,Chromolaena odorata  ,Compositae,"Akintola ,Awolowo,Obiarakara",Siam weed,"Leaves,stem-twigs","Antimicrobial, dysentery, headache,malaria fever,toothache,haemostatic,skin diseases."
78,Trianthema portulacastrum,Ficoidaceae,Akisan,Horse purslane,"Leaves, root, sap","Gonorrhoea, dropsy, emmenagogue, abortifacient,asthma, rheumatism, diuretic,anaemia,vertigo,purgative,wound."
79,Stachytarpheta indica  ,Verbenaceae,"Akisan,iru alangba, Iru-eku,Tsarkiyar kusuu","Verbain,Brazilian tea","Stem, leaves","Dysentery, syphilis, gonorrhoea, catarrhal conditions,emmanagogue,emetic,cough, anthelmintic,antipyretic,diabetes,malaria."
80,Voacanga africana,Apocynaceae,"Ako dodo, sinrinpin,serepe,Pete-pete,Kokiyarbiri.","Papaku,Voacanga ","Latex, stem, root bark","Fever, toothache, cardiac tonic, sores,carious tooth,hypertension,improves mental alertness"
81,Ludwigia suffruticosa,Onagraceae,Ako ewuro odo,Water primrose,whole plant,"Purgative,wounds,fevers,anthelmintics,cough"
82,Corynanthe pachyceras  ,Rubiaceae,Ako idagbon,Corynanthe yohimbe,"Leaves, root, stem bark","Mental problems, impotence, anaesthesia,aphrodisiac,antipyretic,local anasthesia,mental problem"
83,Trichilia heudelotii  ,Meliaceae,"Ako rere, Rere.",,"Root, leaves","Wounds, ulcers,purgative,antipyretic,anaemia  cardiac ailments."
84,Aristolochia ringens,Aristolochiaceae,"Ako-igun,duman dutsee","Dutchman's pipe, Snake work","Leaves,roots, whole plant.","Guineaworm, skin diseases,typhoid, sores, antidote to snake poison,emmenagogue,anthelmintics"
